map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
x_map,improved,2.0,4,6,0.39,22.59,43.29,74.49,74.49
x_map,improved,2.0,4,7,0.39,15.49,46.19,77.89,77.89
x_map,improved,2.0,4,8,0.39,15.49,61.19,40.59,61.19
x_map,improved,2.0,4,9,0.39,22.59,43.39,47.99,47.99
x_map,improved,2.0,4,10,0.39,22.59,43.49,47.99,47.99
x_map,improved,2.0,2,1,0.19,2.59,59.39,6.29,59.39
x_map,improved,2.0,2,2,0.19,2.59,20.89,6.29,20.89
x_map,improved,2.0,2,3,0.19,2.59,20.89,6.29,20.89
x_map,improved,2.0,2,4,0.19,2.59,20.79,6.29,20.79
x_map,improved,2.0,2,5,0.19,2.59,57.29,6.29,57.29
x_map,improved,2.0,2,6,0.19,2.59,57.29,6.29,57.29
x_map,improved,2.0,2,7,0.19,2.59,54.89,6.29,54.89
x_map,improved,2.0,2,8,0.19,2.59,54.59,6.29,54.59
x_map,improved,2.0,2,9,0.19,2.59,54.49,6.29,54.49
x_map,improved,2.0,2,10,0.19,2.59,54.89,6.29,54.89
